location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Kyrgyzstan,2020-01-31,1,monthly,,,,,,3051.0,3188.0,3147.0,2781.0,3085.0,3082.0,2988.0,,,2781.0,3188.0,3050.4,
Kyrgyzstan,2020-02-29,2,monthly,,,,,,2840.0,2567.0,2572.0,2565.0,2590.0,2900.0,2621.0,,,2565.0,2840.0,2626.8,
Kyrgyzstan,2020-03-31,3,monthly,,,,,,3041.0,2705.0,2751.0,2887.0,2606.0,2390.0,,0.0,79.19928571428571,2606.0,3041.0,2798.0,2390.0
Kyrgyzstan,2020-04-30,4,monthly,,,,,,2727.0,2684.0,2634.0,2749.0,2827.0,1263.0,,8.0,92.00666666666667,2634.0,2827.0,2724.2,1255.0
Kyrgyzstan,2020-05-31,5,monthly,,,,,,2890.0,2749.0,2882.0,2775.0,2802.0,2919.0,,8.0,83.4083870967742,2749.0,2890.0,2819.6,2911.0
Kyrgyzstan,2020-06-30,6,monthly,,,,,,2915.0,2819.0,2564.0,2594.0,2377.0,3559.0,,45.0,75.92666666666665,2377.0,2915.0,2653.8,3514.0
Kyrgyzstan,2020-07-31,7,monthly,,,,,,3086.0,2701.0,2858.0,2912.0,3059.0,4045.0,,1317.0,76.47967741935483,2701.0,3086.0,2923.2,2728.0
Kyrgyzstan,2020-08-31,8,monthly,,,,,,2847.0,2641.0,2573.0,2646.0,2663.0,4572.0,,-320.0,77.82483870967742,2573.0,2847.0,2674.0,4892.0
Kyrgyzstan,2020-09-30,9,monthly,,,,,,2694.0,2597.0,2547.0,2432.0,2584.0,3411.0,,6.0,68.798,2432.0,2694.0,2570.8,3405.0
Kyrgyzstan,2020-10-31,10,monthly,,,,,,2867.0,2776.0,2777.0,2803.0,2809.0,3423.0,,80.0,59.51129032258062,2776.0,2867.0,2806.4,3343.0
Kyrgyzstan,2020-11-30,11,monthly,,,,,,2878.0,2791.0,2816.0,2804.0,2687.0,4154.0,,131.0,53.393333333333345,2687.0,2878.0,2795.2,4023.0
Kyrgyzstan,2020-12-31,12,monthly,,,,,,2969.0,3257.0,3045.0,3041.0,3206.0,4259.0,,80.0,48.712580645161275,2969.0,3257.0,3103.6,4179.0
