location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Iceland,2021-10-03,39,weekly,44.0,41.0,33.0,46.0,45.0,45.0,55.0,47.0,50.0,53.0,37.0,,,33.0,55.0,45.9,
Iceland,2021-10-10,40,weekly,38.0,34.0,36.0,39.0,45.0,32.0,47.0,35.0,42.0,56.0,38.0,,,32.0,56.0,40.4,
Iceland,2021-10-17,41,weekly,41.0,41.0,47.0,43.0,34.0,27.0,41.0,45.0,51.0,48.0,52.0,,,27.0,51.0,41.8,
Iceland,2021-10-24,42,weekly,47.0,40.0,44.0,27.0,36.0,39.0,50.0,47.0,37.0,38.0,47.0,,,27.0,50.0,40.5,
Iceland,2021-10-31,43,weekly,42.0,39.0,38.0,41.0,41.0,52.0,48.0,38.0,54.0,38.0,50.0,,,38.0,54.0,43.1,
Iceland,2021-11-07,44,weekly,29.0,36.0,32.0,50.0,35.0,38.0,40.0,39.0,40.0,50.0,55.0,,,29.0,50.0,38.9,
Iceland,2021-11-14,45,weekly,38.0,38.0,37.0,40.0,43.0,30.0,48.0,37.0,39.0,38.0,50.0,,,30.0,48.0,38.8,
Iceland,2021-11-21,46,weekly,25.0,25.0,41.0,38.0,39.0,45.0,49.0,51.0,45.0,45.0,54.0,,,25.0,51.0,40.3,
Iceland,2021-11-28,47,weekly,41.0,44.0,31.0,47.0,37.0,43.0,38.0,47.0,42.0,51.0,45.0,,,31.0,51.0,42.1,
Iceland,2021-12-05,48,weekly,37.0,41.0,22.0,36.0,40.0,53.0,30.0,47.0,32.0,58.0,35.0,,,22.0,58.0,39.6,
Iceland,2021-12-12,49,weekly,43.0,29.0,35.0,49.0,49.0,35.0,43.0,43.0,43.0,45.0,39.0,,,29.0,49.0,41.4,
Iceland,2021-12-19,50,weekly,41.0,38.0,33.0,39.0,28.0,40.0,48.0,36.0,41.0,46.0,46.0,,,28.0,48.0,39.0,
Iceland,2021-12-26,51,weekly,41.0,53.0,42.0,50.0,42.0,45.0,52.0,44.0,42.0,36.0,43.0,,,36.0,53.0,44.7,
Iceland,2022-01-02,52,weekly,49.0,34.0,47.0,55.0,49.0,33.0,45.0,37.0,46.0,49.0,52.0,,,33.0,55.0,44.4,
