location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Liechtenstein,2020-09-20,38,weekly,,,,,,4.0,6.0,3.0,3.0,8.0,6.0,,0.0,3.0,8.0,4.8,6.0
Liechtenstein,2020-09-27,39,weekly,,,,,,6.0,4.0,6.0,6.0,4.0,7.0,,0.0,4.0,6.0,5.2,7.0
Liechtenstein,2020-10-04,40,weekly,,,,,,7.0,9.0,7.0,6.0,3.0,5.0,,0.0,3.0,9.0,6.4,5.0
Liechtenstein,2020-10-11,41,weekly,,,,,,5.0,5.0,8.0,2.0,6.0,8.0,,0.0,2.0,8.0,5.2,8.0
Liechtenstein,2020-10-18,42,weekly,,,,,,6.0,6.0,7.0,3.0,5.0,2.0,,0.0,3.0,7.0,5.4,2.0
Liechtenstein,2020-10-25,43,weekly,,,,,,1.0,4.0,5.0,1.0,5.0,7.0,,0.0,1.0,5.0,3.2,7.0
Liechtenstein,2020-11-01,44,weekly,,,,,,6.0,4.0,4.0,7.0,5.0,8.0,,2.0,4.0,7.0,5.2,6.0
Liechtenstein,2020-11-08,45,weekly,,,,,,6.0,4.0,6.0,3.0,5.0,8.0,,0.0,3.0,6.0,4.8,8.0
Liechtenstein,2020-11-15,46,weekly,,,,,,7.0,5.0,2.0,7.0,9.0,7.0,,2.0,2.0,9.0,6.0,5.0
Liechtenstein,2020-11-22,47,weekly,,,,,,2.0,2.0,6.0,7.0,8.0,10.0,,3.0,2.0,8.0,5.0,7.0
Liechtenstein,2020-11-29,48,weekly,,,,,,4.0,8.0,2.0,6.0,6.0,11.0,,7.0,2.0,8.0,5.2,4.0
Liechtenstein,2020-12-06,49,weekly,,,,,,4.0,4.0,9.0,5.0,1.0,8.0,,2.0,1.0,9.0,4.6,6.0
Liechtenstein,2020-12-13,50,weekly,,,,,,4.0,10.0,4.0,6.0,8.0,7.0,,3.0,4.0,10.0,6.4,4.0
Liechtenstein,2020-12-20,51,weekly,,,,,,2.0,5.0,7.0,5.0,5.0,11.0,,5.0,2.0,7.0,4.8,6.0
Liechtenstein,2020-12-27,52,weekly,,,,,,2.0,2.0,9.0,2.0,2.0,16.0,,6.0,2.0,9.0,3.4,10.0
Liechtenstein,2021-01-03,53,weekly,,,,,,,,,,,14.0,,8.0,,,,6.0
